DATE,Value
2010-01-01,72.5052
2010-02-01,70.672
2010-03-01,62.4502
2010-04-01,57.4714
2010-05-01,55.3151
2010-06-01,58.0904
2010-07-01,62.6202
2010-08-01,63.2485
2010-09-01,60.5846
2010-10-01,56.3154
2010-11-01,58.0005
2010-12-01,68.7145
2011-01-01,73.3057
2011-02-01,67.9869
2011-03-01,62.2221
2011-04-01,57.0329
2011-05-01,55.8137
2011-06-01,59.9005
2011-07-01,65.7655
2011-08-01,64.4816
2011-09-01,61.0005
2011-10-01,57.5322
2011-11-01,59.3417
2011-12-01,68.1354
2012-01-01,73.8152
2012-02-01,70.062
2012-03-01,65.61
2012-04-01,60.1586
2012-05-01,58.8734
2012-06-01,63.8918
2012-07-01,68.8694
2012-08-01,70.0669
2012-09-01,64.1151
2012-10-01,60.3789
2012-11-01,62.4643
2012-12-01,70.5777
2013-01-01,79.8703
2013-02-01,76.1622
2013-03-01,70.2928
2013-04-01,63.2384
2013-05-01,61.4065
2013-06-01,67.1097
2013-07-01,72.9816
2013-08-01,75.7655
2013-09-01,67.5152
2013-10-01,63.2832
2013-11-01,65.1078
2013-12-01,73.8631
2014-01-01,77.9188
2014-02-01,76.6822
2014-03-01,73.3523
2014-04-01,65.1081
2014-05-01,63.6892
2014-06-01,68.4722
2014-07-01,74.0301
2014-08-01,75.0448
2014-09-01,69.3053
2014-10-01,65.8735
2014-11-01,69.0706
2014-12-01,84.1949
2015-01-01,84.3598
2015-02-01,77.1726
2015-03-01,73.1964
2015-04-01,67.2781
2015-05-01,65.8218
2015-06-01,71.4654
2015-07-01,76.614
2015-08-01,77.1052
2015-09-01,73.061
2015-10-01,67.4365
2015-11-01,68.5665
2015-12-01,77.6839
2016-01-01,86.0214
2016-02-01,77.5573
2016-03-01,73.365
2016-04-01,67.15
2016-05-01,68.8162
2016-06-01,74.8448
2016-07-01,80.0928
2016-08-01,79.1606
2016-09-01,73.5743
2016-10-01,68.7538
2016-11-01,72.5166
2016-12-01,79.4894
2017-01-01,85.2855
2017-02-01,80.1643
2017-03-01,74.5275
2017-04-01,69.6441
2017-05-01,67.1784
2017-06-01,71.2078
2017-07-01,77.5081
2017-08-01,76.5374
2017-09-01,72.3541
2017-10-01,69.0286
2017-11-01,73.4992
2017-12-01,84.5159
2018-01-01,87.9464
2018-02-01,84.5561
2018-03-01,79.4747
2018-04-01,71.0578
2018-05-01,67.6762
2018-06-01,74.3297
2018-07-01,82.1048
2018-08-01,82.0605
2018-09-01,74.6031
2018-10-01,69.681
2018-11-01,74.4292
2018-12-01,84.2284
2019-01-01,94.1386
2019-02-01,87.1607
2019-03-01,79.2456
2019-04-01,70.9749
2019-05-01,69.3844
2019-06-01,77.9831
2019-07-01,83.277
2019-08-01,81.8872
2019-09-01,75.6826
2019-10-01,71.2661
2019-11-01,75.2458
2019-12-01,84.8147
2020-01-01,92.4532
2020-02-01,87.4033
2020-03-01,81.2661
2020-04-01,73.8167
2020-05-01,73.2682
2020-06-01,78.3026
2020-07-01,85.9841
2020-08-01,89.5467
2020-09-01,78.5035
2020-10-01,73.7066
2020-11-01,79.6543
2020-12-01,90.8251
2021-01-01,98.9732
2021-02-01,92.8883
2021-03-01,86.9356
2021-04-01,77.2214
2021-05-01,76.6826
2021-06-01,81.9306
2021-07-01,85.9606
2021-08-01,86.5562
2021-09-01,79.1919
2021-10-01,74.6891
2021-11-01,81.074
2021-12-01,90.4855
2022-01-01,98.4613
2022-02-01,89.7795
2022-03-01,83.0125
2022-04-01,76.1476
2022-05-01,73.8471
2022-06-01,79.7645
2022-07-01,88.4519
2022-08-01,87.7828
2022-09-01,81.9386
2022-10-01,77.5027
2022-11-01,82.0448
2022-12-01,92.101
2023-01-01,94.792
2023-02-01,87.82
2023-03-01,86.5549
2023-04-01,76.7521
2023-05-01,78.0303
2023-06-01,86.4579
2023-07-01,93.8379
2023-08-01,93.531
2023-09-01,87.5414
